ID;Название;Предусловия;Шаги;Ожидаемый результат;Приоритет;Автопокрытие;Причина или примечание
TC-001;Успешная авторизация;Приложение установлено данные очищены сеть доступна;1. Запустить приложение | 2. Ввести login2 | 3. Ввести password2 | 4. Нажать Войти;Открыта Главная пользователь авторизован;P0;Да;Критический стабильный сценарий
TC-002;Вход с пустыми полями;Открыт экран Авторизация;1. Оставить оба поля пустыми | 2. Нажать Войти;Вход не выполнен показано Логин и пароль не могут быть пустыми;P1;Да;Проверка валидации
TC-003;Вход с пустым логином;Открыт экран Авторизация;1. Пароль password2 | 2. Логин пустой | 3. Нажать Войти;Вход не выполнен показано сообщение о пустых реквизитах;P1;Да;Проверка валидации
TC-004;Вход с пустым паролем;Открыт экран Авторизация;1. Логин login2 | 2. Пароль пустой | 3. Нажать Войти;Вход не выполнен показано сообщение о пустых реквизитах;P1;Да;Проверка валидации
TC-005;Вход с неверными данными;Открыт экран Авторизация сеть доступна;1. Ввести wrong | 2. Ввести wrong | 3. Нажать Войти;Вход не выполнен показано Неверный логин или пароль;P1;Да;Зависит от backend
TC-006;Обрезка пробелов в реквизитах;Открыт экран Авторизация сеть доступна;1. Ввести пробел login2 пробел | 2. Ввести пробел password2 пробел | 3. Нажать Войти;Пробелы удалены открыта Главная;P2;Да;Поведение явно реализовано
TC-007;Авторизация без сети;Открыт экран Авторизация интернет отключён;1. Ввести валидные данные | 2. Нажать Войти;Экран не меняется показано сообщение об отсутствии подключения;P2;Частично;Автоматизация требует управления сетью
TC-008;Восстановление сессии;Пользователь авторизован;1. Закрыть приложение | 2. Запустить приложение снова;После splash открыта Главная без повторного ввода данных;P1;Да;Проверка сохранения токенов
TC-009;Отображение новостей на главной;Пользователь авторизован backend содержит более трёх новостей;1. Открыть Главную | 2. Посчитать карточки в блоке Новости;Отображены три последние доступные новости;P1;Да;Нужны управляемые данные
TC-010;Сворачивание новостей на главной;Открыта Главная блок новостей развёрнут;1. Нажать стрелку блока | 2. Нажать её повторно;Карточки скрыты после первого нажатия и видимы после второго;P2;Да;Стабильный UI-сценарий
TC-011;Переход к полному списку;Открыта Главная блок новостей развёрнут сеть доступна;1. Нажать Все новости;Открыт экран Новости;P1;Да;Навигационный сценарий
TC-012;Навигация главным меню;Пользователь авторизован;1. Открыть меню | 2. Выбрать Новости | 3. Открыть меню | 4. Выбрать Главная;Последовательно открыты Новости и Главная активный пункт недоступен;P0;Да;Критический сценарий
TC-013;Раскрытие карточки новости;Открыт список с новостью;1. Нажать стрелку карточки | 2. Проверить описание | 3. Нажать стрелку снова;Описание появляется и затем скрывается данные карточки не меняются;P1;Да;Стабильный UI-сценарий
TC-014;Сортировка новостей;Есть минимум две новости с разными датами;1. Зафиксировать порядок | 2. Нажать сортировку | 3. Нажать повторно;Порядок меняется на противоположный и затем восстанавливается;P1;Да;Нужны управляемые данные
TC-015;Фильтр новостей по категории;Есть новости выбранной и другой категории;1. Открыть фильтр | 2. Выбрать категорию | 3. Нажать Фильтровать;Показаны только новости выбранной категории;P1;Да;Параметризовать восемью категориями
TC-016;Фильтр новостей по диапазону дат;Есть новости внутри и вне диапазона;1. Открыть фильтр | 2. Выбрать начальную и конечную даты | 3. Применить;Показаны новости с датой внутри диапазона включая границы;P1;Да;Проверка граничных значений
TC-017;Фильтр с одной датой;Открыт экран фильтрации;1. Заполнить только начальную дату | 2. Нажать Фильтровать | 3. Повторить только с конечной датой;В обоих вариантах показано Неверно указан период экран фильтра остаётся открыт;P1;Да;Параметризованный негативный тест
TC-018;Отмена фильтрации;Открыт экран фильтрации исходный список известен;1. Изменить категорию и даты | 2. Нажать Отмена;Открыт прежний список новые параметры не применены;P2;Да;Навигационный сценарий
TC-019;Открытие панели управления;Пользователь login2 авторизован и имеет роль администратора открыт список новостей;1. Нажать Панель управления;Открыта Панель управления с кнопками добавить изменить удалить;P0;Да;Если login2 не администратор тест BLOCKED
TC-020;Валидация пустой формы новости;Открыта Панель управления;1. Нажать Добавить | 2. Не заполнять поля | 3. Нажать Сохранить;Форма остаётся открыта пустые поля отмечены показано Заполните пустые поля;P1;Да;Проверка обязательности
TC-021;Автозаполнение заголовка категорией;Открыта форма создания заголовок пуст;1. Выбрать категорию Объявление;Заголовок автоматически получает текст Объявление и остаётся редактируемым;P2;Да;Поведение явно реализовано
TC-022;Ограничение даты публикации;Открыта форма создания;1. Открыть выбор даты | 2. Попытаться выбрать вчерашнюю дату;Дата раньше текущей недоступна для выбора;P1;Да;Зависит от системной даты
TC-023;Создание новости;Открыта форма создания сеть доступна;1. Выбрать категорию | 2. Ввести уникальный заголовок | 3. Выбрать сегодня и будущее время | 4. Ввести описание | 5. Сохранить;Форма закрыта новая активная новость видна в панели и доступна через фильтр;P0;Да;Созданную запись удалить в teardown
TC-024;Отмена создания новости;Открыта форма создания;1. Заполнить поля | 2. Нажать Отмена | 3. В диалоге подтвердить выход | 4. Найти заголовок;Открыта панель управления новость не создана;P1;Да;Проверка несохранённых данных
TC-025;Отказ от отмены создания;Открыта заполненная форма создания;1. Нажать Отмена | 2. В диалоге нажать Отмена;Диалог закрыт форма и введённые значения сохранены;P2;Да;Переход состояния диалога
TC-026;Редактирование новости;Создана собственная тестовая новость;1. Нажать Изменить | 2. Изменить категорию заголовок дату время описание | 3. Сохранить;Изменения сохранены и отображаются в панели после обновления;P1;Да;Не изменять чужие записи
TC-027;Изменение активности новости;Создана собственная активная новость;1. Открыть редактирование | 2. Выключить Активна | 3. Сохранить | 4. Отфильтровать неактивные;Новость имеет статус Не активна и находится фильтром неактивных;P1;Да;После теста вернуть или удалить запись
TC-028;Фильтр панели по активности;Есть активная и неактивная тестовые новости;1. Открыть фильтр | 2. Оставить только Активна | 3. Применить | 4. Повторить только Не активна;Каждый раз показаны новости только выбранного состояния;P1;Да;Таблица решений для чекбоксов
TC-029;Отмена удаления новости;Создана собственная тестовая новость;1. Нажать Удалить | 2. В подтверждении нажать Отмена;Диалог закрыт новость остаётся в списке;P1;Да;Безопасный сценарий удаления
TC-030;Подтверждение удаления новости;Создана собственная тестовая новость;1. Нажать Удалить | 2. Подтвердить | 3. Обновить список и выполнить поиск;Новость отсутствует в панели удаление необратимо;P0;Да;Удалять только данные теста
TC-031;Список цитат Наша миссия;Пользователь авторизован;1. Нажать Наша миссия | 2. Прокрутить список;Открыт экран с заголовком Главное жить любя и восемью цитатами;P1;Да;Локальные статические данные
TC-032;Независимое раскрытие цитат;Открыт экран Наша миссия;1. Раскрыть первую карточку | 2. Раскрыть вторую | 3. Свернуть первую;Описания раскрываются независимо первая свёрнута вторая остаётся раскрыта;P1;Да;Стабильный UI-сценарий
TC-033;Выход из приложения;Пользователь авторизован;1. Открыть меню авторизации | 2. Нажать Выйти;Открыт экран Авторизация защищённые экраны недоступны;P0;Да;Критический сценарий
TC-034;Сессия после выхода;Пользователь выполнил выход;1. Закрыть приложение | 2. Запустить снова;После splash открыт экран Авторизация;P1;Да;Проверка удаления токенов
TC-035;Ошибка загрузки и повтор;Пользователь авторизован открыт список интернет отключён;1. Обновить список | 2. Проверить сообщение | 3. Включить интернет | 4. Нажать Повторить или обновить;Приложение не падает показана ошибка после восстановления сети список загружен;P2;Частично;Нужно управление сетью эмулятора
TC-036;Смена ориентации на форме;Открыта частично заполненная форма новости;1. Повернуть устройство в landscape | 2. Вернуть portrait;Приложение не падает форма остаётся работоспособной введённые данные не теряются;P3;Нет;Надёжнее выполнить вручную из-за системного UI
TC-037;Масштаб шрифта 200 процентов;Пользователь авторизован системный шрифт 200 процентов;1. Открыть все основные экраны | 2. Проверить тексты и кнопки;Критичные тексты читаемы элементы не перекрываются действия доступны;P3;Нет;Визуальная экспертная оценка

