ID;Модуль;Заголовок;Severity;Предусловия;Шаги;Ожидаемый результат;Статус;Покрытие/Причина
TC-001;Splash;Отображение splash-экрана при холодном старте;Low;Приложение установлено, пользователь не авторизован;1. Запустить приложение;1. Отображается экран с логотипом, случайной цитатой и progress indicator;Not Tested;Будет покрыто UI-тестом SplashScreenTest
TC-002;Splash;Автоматический переход на экран логина при отсутствии токена;High;Приложение запущено, токен отсутствует;1. Запустить приложение 2. Подождать 3 секунды;1. Через 3 секунды выполняется переход на AuthFragment;Not Tested;Будет покрыто UI-тестом SplashScreenTest
TC-003;Splash;Автоматический переход на главную при наличии токена;High;Приложение запущено, сохранён валидный токен;1. Запустить приложение 2. Подождать 3 секунды;1. Через 3 секунды выполняется переход на MainFragment;Not Tested;Требуется мокирование AppAuth
TC-004;Auth;Успешная авторизация с валидными данными;Critical;Приложение на экране логина;1. Ввести логин 2. Ввести пароль 3. Нажать "Sign In";1. Progress indicator отображается 2. Выполняется переход на MainFragment;Not Tested;Будет покрыто UI-тестом AuthTest (MockWebServer)
TC-005;Auth;Авторизация с неверными данными;High;Приложение на экране логина;1. Ввести неверный логин 2. Ввести неверный пароль 3. Нажать "Sign In";1. Отображается сообщение об ошибке авторизации 2. Пользователь остаётся на AuthFragment;Not Tested;Будет покрыто UI-тестом AuthTest (MockWebServer)
TC-006;Auth;Авторизация с пустыми полями;Medium;Приложение на экране логина;1. Оставить поле логина пустым 2. Оставить поле пароля пустым 3. Нажать "Sign In";1. Валидация не пропускает 2. Отображается индикация ошибки на пустых полях;Not Tested;Будет покрыто UI-тестом AuthTest
TC-007;Auth;Авторизация с пустым паролем;Medium;Приложение на экране логина;1. Ввести логин 2. Оставить пароль пустым 3. Нажать "Sign In";1. Валидация не пропускает 2. Индикация ошибки на поле пароля;Not Tested;Будет покрыто UI-тестом AuthTest
TC-008;Auth;Отображение ошибки сети при авторизации;High;Приложение на экране логина, сеть отключена;1. Отключить интернет 2. Ввести логин/пароль 3. Нажать "Sign In";1. Отображается сообщение об отсутствии соединения;Not Tested;Требуется MockWebServer с эмуляцией таймаута
TC-009;Auth;Progress indicator во время запроса авторизации;Medium;Приложение на экране логина;1. Ввести логин/пароль 2. Нажать "Sign In";1. CircularProgressIndicator отображается 2. После ответа сервера — скрывается;Not Tested;Будет покрыто UI-тестом AuthTest
TC-010;Auth;Выход из системы (logout);High;Пользователь авторизован, на главном экране;1. Нажать кнопку меню авторизации (иконка человека) 2. Выбрать "Log Out";1. Очищаются токены 2. Выполняется переход на AuthFragment;Not Tested;Будет покрыто UI-тестом AuthTest
TC-011;Auth;Автоматический refresh токена при 401;High;Пользователь авторизован, access token истёк;1. Выполнить любой запрос к API 2. Сервер возвращает 401;1. RefreshAuthenticator вызывает refresh токена 2. Запрос повторяется успешно 3. Пользователь не видит ошибку;Not Tested;Требуется MockWebServer + кастомный interceptor
TC-012;Main;Отображение главного экрана после успешной авторизации;High;Пользователь авторизован;1. Успешно пройти авторизацию;1. Отображается MainFragment с app bar 2. Отображается контейнер с новостями (или empty state);Not Tested;Будет покрыто UI-тестом MainScreenTest
TC-013;Main;Отображение топ-3 новостей на главной;High;Есть опубликованные новости, пользователь авторизован;1. Перейти на MainFragment;1. Отображаются до 3 последних новостей 2. Каждая карточка содержит заголовок, дату, категорию;Not Tested;Будет покрыто UI-тестом MainScreenTest
TC-014;Main;Раскрытие и сворачивание карточки новости;Medium;Новости отображаются на главной;1. Нажать на карточку новости;1. Отображается полное описание новости 2. При повторном нажатии описание скрывается;Not Tested;Будет покрыто UI-тестом MainScreenTest
TC-015;Main;Empty state при отсутствии новостей;Medium;Нет ни одной новости;1. Перейти на MainFragment;1. Отображается empty state: изображение, текст "There is nothing here yet...", кнопка Retry;Not Tested;Требуется MockWebServer с пустым ответом
TC-016;Main;Pull-to-refresh обновляет новости;Medium;Пользователь на главной;1. Выполнить свайп вниз (pull-to-refresh);1. Отображается индикатор загрузки 2. Список новостей обновляется;Not Tested;Будет покрыто UI-тестом MainScreenTest
TC-017;Main;Кнопка "Все новости" открывает полный список;Medium;Пользователь на главной, есть новости;1. Нажать на "Все новости" (под списком);1. Выполняется переход на NewsListFragment;Not Tested;Будет покрыто NavigationTest
TC-018;Main;Меню "Главная" и "Новости" в PopupMenu;Medium;Пользователь на главной;1. Нажать на гамбургер-меню (слева в app bar);1. Открывается PopupMenu с пунктами "Главная" (disabled) и "Новости";Not Tested;Будет покрыто NavigationTest
TC-019;Main;Кнопка "Наша миссия" открывает экран миссии;Medium;Пользователь на главной;1. Нажать на кнопку "Our Mission" в app bar;1. Выполняется переход на OurMissionFragment;Not Tested;Будет покрыто NavigationTest
TC-020;NewsList;Отображение полного списка новостей;High;Есть опубликованные новости;1. Перейти на NewsListFragment;1. Отображается RecyclerView со всеми новостями 2. Каждая новость содержит заголовок, дату, описание, иконку категории;Not Tested;Будет покрыто UI-тестом NewsListTest
TC-021;NewsList;Сортировка новостей ASC;Medium;Есть минимум 2 новости с разными датами;1. Нажать кнопку сортировки (ASC);1. Новости отсортированы по возрастанию даты публикации;Not Tested;Будет покрыто UI-тестом NewsListTest
TC-022;NewsList;Сортировка новостей DESC;Medium;Есть минимум 2 новости с разными датами;1. Нажать кнопку сортировки (DESC);1. Новости отсортированы по убыванию даты публикации;Not Tested;Будет покрыто UI-тестом NewsListTest
TC-023;NewsList;Фильтрация по категории;High;Есть новости разных категорий;1. Нажать кнопку фильтра 2. Выбрать категорию 3. Нажать "Apply";1. Отображаются только новости выбранной категории;Not Tested;Будет покрыто UI-тестом FilterNewsTest
TC-024;NewsList;Фильтрация по диапазону дат;High;Есть новости за разные даты;1. Нажать кнопку фильтра 2. Выбрать start date 3. Выбрать end date 4. Нажать "Apply";1. Отображаются только новости в указанном диапазоне дат;Not Tested;Будет покрыто UI-тестом FilterNewsTest
TC-025;NewsList;Комбинированная фильтрация (категория + даты);Medium;Есть новости разных категорий и дат;1. Выбрать категорию + диапазон дат 2. Нажать "Apply";1. Отображаются новости только выбранной категории в указанном диапазоне;Not Tested;Будет покрыто UI-тестом FilterNewsTest
TC-026;NewsList;Сброс фильтра;Medium;Фильтр применён;1. Открыть фильтр 2. Очистить все поля 3. Нажать "Apply";1. Отображаются все новости без фильтрации;Not Tested;Будет покрыто UI-тестом FilterNewsTest
TC-027;NewsList;Кнопка редактирования доступна admin;High;Пользователь с правами admin;1. Нажать на иконку редактирования;1. Выполняется переход на NewsControlPanelFragment;Not Tested;Требуется мокирование UserApi с admin=true
TC-028;NewsList;Toast для non-admin при нажатии на редактирование;High;Пользователь без прав admin;1. Нажать на иконку редактирования;1. Отображается Toast "This function is only available to admins" 2. Перехода не происходит;Not Tested;Требуется мокирование UserApi с admin=false
TC-029;Filter;Выбор категории из AutoCompleteTextView;Medium;Пользователь на экране фильтра;1. Нажать на поле категории 2. Выбрать категорию из выпадающего списка;1. Выбранная категория отображается в поле;Not Tested;Будет покрыто UI-тестом FilterNewsTest
TC-030;Filter;Выбор даты через DatePickerDialog;Medium;Пользователь на экране фильтра;1. Нажать на поле даты;1. Открывается DatePickerDialog 2. Выбранная дата отображается в поле;Not Tested;Будет покрыто UI-тестом FilterNewsTest
TC-031;Filter;Валидация — указана только начальная дата;Medium;Пользователь на экране фильтра;1. Ввести start date 2. Оставить end date пустым 3. Нажать "Apply";1. Отображается ошибка валидации (обе даты обязательны);Not Tested;Будет покрыто UI-тестом FilterNewsTest
TC-032;Filter;Чекбоксы статуса отображаются только в Control Panel;Medium;Пользователь в NewsList;1. Открыть фильтр;1. Чекбоксы "Active" / "Inactive" отсутствуют;Not Tested;Будет покрыто UI-тестом FilterNewsTest
TC-033;Filter;Чекбоксы статуса отображаются в Control Panel;Medium;Пользователь в ControlPanel;1. Открыть фильтр;1. Чекбоксы "Active" / "Inactive" отображаются;Not Tested;Будет покрыто UI-тестом FilterNewsTest
TC-034;Filter;Кнопка "Cancel" не применяет фильтр;Medium;Фильтр не применён, выставлены опции;1. Выставить опции фильтра 2. Нажать "Cancel";1. Фильтр не применяется 2. Возврат на предыдущий экран;Not Tested;Будет покрыто UI-тестом FilterNewsTest
TC-035;ControlPanel;Отображение панели управления;High;Пользователь admin;1. Перейти на NewsControlPanelFragment;1. Отображается полный список новостей (включая неопубликованные) 2. Отображаются кнопки: sort, filter, add;Not Tested;Требуется мокирование роли admin
TC-036;ControlPanel;Добавление новой новости;Critical;Пользователь admin;1. Нажать кнопку "+" (Add) 2. Заполнить все поля 3. Нажать "Save";1. Новая новость отображается в списке 2. Новость сохраняется на сервере (POST /news);Not Tested;Будет покрыто UI-тестом NewsControlPanelTest (MockWebServer)
TC-037;ControlPanel;Редактирование существующей новости;Critical;Пользователь admin, есть новость;1. Нажать иконку редактирования на карточке 2. Изменить поля 3. Нажать "Save";1. Изменения отображаются в списке 2. PUT-запрос отправлен на сервер;Not Tested;Будет покрыто UI-тестом NewsControlPanelTest (MockWebServer)
TC-038;ControlPanel;Удаление новости;Critical;Пользователь admin, есть новость;1. Нажать иконку delete на карточке 2. Подтвердить в диалоге "Yes";1. Новость удаляется из списка 2. DELETE-запрос отправлен на сервер;Not Tested;Будет покрыто UI-тестом NewsControlPanelTest (MockWebServer)
TC-039;ControlPanel;Отмена удаления новости;Medium;Пользователь admin, есть новость;1. Нажать иконку delete 2. В диалоге нажать "No";1. Диалог закрывается 2. Новость остаётся в списке;Not Tested;Будет покрыто UI-тестом NewsControlPanelTest
TC-040;ControlPanel;Empty state в Control Panel;Medium;Нет ни одной новости;1. Перейти в ControlPanel;1. Отображается empty state с изображением и текстом;Not Tested;Требуется MockWebServer с пустым ответом
TC-041;ControlPanel;Сортировка ASC/DESC в Control Panel;Medium;Есть минимум 2 новости;1. Нажать кнопку сортировки;1. Сортировка переключается ASC <-> DESC;Not Tested;Будет покрыто UI-тестом NewsControlPanelTest
TC-042;CreateEdit;Создание новости — все поля валидны;Critical;Пользователь admin, открыта форма создания;1. Выбрать категорию 2. Ввести заголовок 3. Выбрать дату 4. Выбрать время 5. Ввести описание 6. Установить switch "Active" 7. Нажать "Save";1. Новость создаётся 2. Переход на предыдущий экран;Not Tested;Будет покрыто UI-тестом CreateEditNewsTest
TC-043;CreateEdit;Редактирование — форма предзаполнена;High;Пользователь admin, открыта форма редактирования;1. Открыть редактирование существующей новости;1. Все поля заполнены данными новости 2. Заголовок "Editing News";Not Tested;Будет покрыто UI-тестом CreateEditNewsTest
TC-044;CreateEdit;Валидация — пустые поля;High;Форма создания открыта;1. Нажать "Save" не заполняя поля;1. Валидация не пропускает 2. Пустые поля подсвечены красной иконкой;Not Tested;Будет покрыто UI-тестом CreateEditNewsTest
TC-045;CreateEdit;Валидация — пустой заголовок;Medium;Форма создания, заполнены остальные поля;1. Заполнить все поля, кроме заголовка 2. Нажать "Save";1. Поле заголовка подсвечено красным 2. Сохранение не происходит;Not Tested;Будет покрыто UI-тестом CreateEditNewsTest
TC-046;CreateEdit;Валидация — пустое описание;Medium;Форма создания, заполнены остальные поля;1. Заполнить все поля, кроме описания 2. Нажать "Save";1. Поле описания подсвечено красным 2. Сохранение не происходит;Not Tested;Будет покрыто UI-тестом CreateEditNewsTest
TC-047;CreateEdit;Выбор даты через DatePicker;Medium;Форма открыта;1. Нажать на поле даты;1. Открывается DatePickerDialog 2. Выбранная дата отображается в поле;Not Tested;Будет покрыто UI-тестом CreateEditNewsTest
TC-048;CreateEdit;Выбор времени через TimePicker;Medium;Форма открыта;1. Нажать на поле времени;1. Открывается TimePickerDialog 2. Выбранное время отображается в поле;Not Tested;Будет покрыто UI-тестом CreateEditNewsTest
TC-049;CreateEdit;Отмена создания;Medium;Форма создания, поля заполнены;1. Нажать "Cancel";1. Форма закрывается 2. Переход на предыдущий экран;Not Tested;Будет покрыто UI-тестом CreateEditNewsTest
TC-050;CreateEdit;Заголовок формы зависит от режима;Low;Открыта форма создания/редактирования;1. Проверить заголовок;1. Для создания: "Creating News" 2. Для редактирования: "Editing News";Not Tested;Будет покрыто UI-тестом CreateEditNewsTest
TC-051;CreateEdit;Переключатель Active по умолчанию;Low;Форма создания;1. Проверить положение switch;1. Switch "Active" по умолчанию может быть вкл или выкл (зависит от реализации);Not Tested;Будет покрыто UI-тестом CreateEditNewsTest
TC-052;Mission;Отображение списка карточек миссии;High;Пользователь авторизован;1. Перейти на OurMissionFragment;1. Отображается RecyclerView с 8 карточками 2. Каждая карточка имеет заголовок с цветным фоном;Not Tested;Будет покрыто UI-тестом OurMissionTest
TC-053;Mission;Раскрытие и сворачивание карточки миссии;Medium;Пользователь на экране миссии;1. Нажать на карточку;1. Отображается описание (скрытый текст) 2. При повторном нажатии описание скрывается;Not Tested;Будет покрыто UI-тестом OurMissionTest
