ID;Раздел;Проверка;Приоритет;Статус;Комментарий
CHK-001;Установка;Debug APK собирается в Podman с Android SDK 36;P0;NOT_RUN;Будет обновлено после контейнерной сборки
CHK-002;Установка;Приложение устанавливается и запускается на Android API 36;P0;BLOCKED;В текущем окружении нет доступного устройства или эмулятора
CHK-003;Старт;При первом запуске после splash открывается экран Авторизация;P0;NOT_RUN;Требуется устройство API 36
CHK-004;Авторизация;Вход с login2 и password2 открывает главную страницу;P0;NOT_RUN;Требуется устройство API 36 и backend
CHK-005;Авторизация;Пустые логин и пароль не позволяют войти;P1;NOT_RUN;Требуется устройство API 36
CHK-006;Авторизация;Пустой логин не позволяет войти;P1;NOT_RUN;Требуется устройство API 36
CHK-007;Авторизация;Пустой пароль не позволяет войти;P1;NOT_RUN;Требуется устройство API 36
CHK-008;Авторизация;Неверные реквизиты показывают понятное сообщение;P1;NOT_RUN;Требуется устройство API 36 и backend
CHK-009;Авторизация;Пробелы по краям валидных реквизитов удаляются;P2;NOT_RUN;Требуется устройство API 36 и backend
CHK-010;Авторизация;При отсутствии сети показано сообщение об отсутствии подключения;P2;NOT_RUN;Требуется устройство API 36
CHK-011;Сессия;После повторного запуска авторизованный пользователь попадает на главную;P1;NOT_RUN;Требуется устройство API 36
CHK-012;Главная;На главной отображается не более трёх последних новостей;P1;NOT_RUN;Требуется устройство API 36 и данные backend
CHK-013;Главная;Блок новостей сворачивается и разворачивается;P2;NOT_RUN;Требуется устройство API 36
CHK-014;Главная;Ссылка Все новости открывает полный список;P1;NOT_RUN;Требуется устройство API 36
CHK-015;Главная;Pull-to-refresh обновляет новости и завершает индикатор;P2;NOT_RUN;Требуется устройство API 36
CHK-016;Навигация;Главное меню переключает Главную и Новости;P0;NOT_RUN;Требуется устройство API 36
CHK-017;Навигация;Кнопка Наша миссия доступна с основных экранов;P1;NOT_RUN;Требуется устройство API 36
CHK-018;Новости;Карточка новости раскрывает и скрывает описание;P1;NOT_RUN;Требуется устройство API 36 и данные backend
CHK-019;Новости;Сортировка меняет порядок новостей по дате;P1;NOT_RUN;Требуется устройство API 36 и минимум две новости
CHK-020;Новости;Фильтр по каждой из восьми категорий возвращает подходящие новости;P1;NOT_RUN;Требуется устройство API 36 и тестовые данные
CHK-021;Новости;Фильтр по корректному диапазону дат работает включительно;P1;NOT_RUN;Требуется устройство API 36 и тестовые данные
CHK-022;Новости;Одна заполненная граница периода вызывает сообщение Неверно указан период;P1;NOT_RUN;Требуется устройство API 36
CHK-023;Новости;Отмена фильтра возвращает к списку без применения изменений;P2;NOT_RUN;Требуется устройство API 36
CHK-024;Панель управления;Администратор может открыть панель управления;P0;NOT_RUN;Требуется устройство API 36 и административная роль login2
CHK-025;Панель управления;Сортировка и обновление списка работают;P2;NOT_RUN;Требуется устройство API 36
CHK-026;Панель управления;Фильтрация по активным и неактивным новостям работает;P1;NOT_RUN;Требуется устройство API 36 и тестовые данные
CHK-027;Создание новости;Форма содержит категорию заголовок дату время описание и активность;P1;NOT_RUN;Требуется устройство API 36
CHK-028;Создание новости;Сохранение с пустыми обязательными полями запрещено;P1;NOT_RUN;Требуется устройство API 36
CHK-029;Создание новости;Выбор категории подставляет категорию в пустой заголовок;P2;NOT_RUN;Требуется устройство API 36
CHK-030;Создание новости;Нельзя выбрать дату публикации раньше текущей;P1;NOT_RUN;Требуется устройство API 36
CHK-031;Создание новости;Валидная новость создаётся активной и появляется в списке;P0;NOT_RUN;Требуется устройство API 36 и backend
CHK-032;Создание новости;Отмена показывает предупреждение и не сохраняет новость;P1;NOT_RUN;Требуется устройство API 36
CHK-033;Редактирование новости;Изменения заголовка описания даты времени и категории сохраняются;P1;NOT_RUN;Требуется устройство API 36 и собственная тестовая новость
CHK-034;Редактирование новости;Активную новость можно деактивировать и снова активировать;P1;NOT_RUN;Требуется устройство API 36 и собственная тестовая новость
CHK-035;Удаление новости;Отмена в диалоге удаления сохраняет новость;P1;NOT_RUN;Требуется устройство API 36 и собственная тестовая новость
CHK-036;Удаление новости;Подтверждение безвозвратно удаляет собственную тестовую новость;P0;NOT_RUN;Требуется устройство API 36 и backend
CHK-037;Наша миссия;Отображаются восемь тематических цитат;P1;NOT_RUN;Требуется устройство API 36
CHK-038;Наша миссия;Каждая карточка независимо раскрывается и сворачивается;P1;NOT_RUN;Требуется устройство API 36
CHK-039;Выход;Команда Выйти возвращает на Авторизацию;P0;NOT_RUN;Требуется устройство API 36
CHK-040;Выход;После выхода и перезапуска сессия не восстанавливается;P1;NOT_RUN;Требуется устройство API 36
CHK-041;Сеть;Ошибка загрузки новостей отображается без падения и доступна повторная попытка;P2;NOT_RUN;Требуется устройство API 36 и управление сетью
CHK-042;Стабильность;Смена ориентации и фон-возврат не приводят к падению или дублированию данных;P3;NOT_RUN;Требуется устройство API 36
CHK-043;UI;Интерфейс читаем при системном масштабе шрифта 200 процентов;P3;NOT_RUN;Требуется устройство API 36
CHK-044;UI;Интерактивные иконки имеют доступные описания и достаточную область нажатия;P3;NOT_RUN;Требуется устройство API 36 и Accessibility Scanner

